# Server version 0.08 running on brian-MBP:8123
# Game ID: 10
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 21:38:41 EDT 2016
# Player 1: Player-0, 'Human', running on localhost
# Player 2: Player-1, '260381251', running on localhost
START Player-0 Human
START Player-1 260381251
PIT 0 9
PIT 1 1
PIT 0 6
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 7
PIT 1 6
PIT 0 5
PIT 1 7
PIT 0 11
PIT 1 9
PIT 0 22
PIT 1 10
PIT 0 23
PIT 1 14
PIT 0 25
PIT 1 15
PIT 0 27
PIT 1 19
PIT 0 4
PIT 1 20
PIT 0 6
PIT 1 21
PIT 0 22
PIT 1 23
PIT 0 20
PIT 1 24
PIT 0 19
PIT 1 1
PIT 0 26
PIT 1 2
PIT 0 27
PIT 1 4
PIT 0 28
PIT 1 5
